dsb_id,event_id,x_um,y_um,z_um,complexity,n_backbone_breaks,n_base_damage,has_base_damage_in_cluster,cause,direct_fraction,indirect_fraction,chromosome,chromosome_position
128,21,0.071959,0.039144,2.974303,DSB,2,0,0,DIRECT,1.0,0.0,13,0.559224299342
129,21,0.047277,0.011226,1.000099,DSB,2,0,0,DIRECT,1.0,0.0,13,0.903826259351
130,21,0.046369,0.031727,3.741425,DSB,2,0,0,DIRECT,1.0,0.0,17,0.019979529863
131,21,0.048069,0.011032,-4.518289,DSB+,3,0,0,DIRECT,1.0,0.0,18,0.87663829443
132,22,0.049862,0.071843,2.409497,DSB+,3,0,0,DIRECT,1.0,0.0,13,0.479778923435
133,22,0.05052,0.070879,-2.751947,DSB+,4,0,0,DIRECT,1.0,0.0,18,0.606730664613
134,23,-0.033011,-0.057059,3.78702,DSB,2,1,1,DIRECT,1.0,0.0,13,0.196011715495
135,23,0.079857,0.053107,2.262602,DSB,2,0,0,DIRECT,1.0,0.0,13,0.477748998883
136,23,0.079504,0.053068,2.851033,DSB,2,0,0,DIRECT,1.0,0.0,13,0.557277947862
137,23,0.080614,0.053108,4.183545,DSB,2,0,0,DIRECT,1.0,0.0,17,0.037168230348
138,23,0.079845,0.0532,4.317706,DSB,2,0,0,DIRECT,1.0,0.0,17,0.039382150599
139,23,0.07988,0.05293,-1.623517,DSB,2,0,0,DIRECT,1.0,0.0,23,0.00365413635
140,23,-1.036567,2.220392,-2.927139,DSB,2,0,0,DIRECT,1.0,0.0,34,0.296352811018
141,24,-0.042948,0.029707,2.611913,DSB+,3,2,1,DIRECT,1.0,0.0,13,0.553922628742
142,24,-0.043412,0.029932,-0.762908,DSB+,3,0,0,DIRECT,1.0,0.0,16,0.796870954953
143,24,-0.043812,0.029661,-0.395577,DSB,2,1,1,DIRECT,1.0,0.0,16,0.765811246303
144,24,-0.043183,0.030163,-0.005372,DSB,2,0,0,DIRECT,1.0,0.0,16,0.679584833483
145,24,0.064362,0.254078,-1.228982,DSB,2,0,0,DIRECT,1.0,0.0,23,0.036895118083
146,25,0.022105,0.028208,1.921828,DSB,2,0,0,DIRECT,1.0,0.0,13,0.430600122116
147,25,0.02746,0.030367,-0.260871,DSB+,3,2,1,DIRECT,1.0,0.0,16,0.711148974272
148,25,0.183942,-0.079845,-0.064069,DSB,2,0,0,DIRECT,1.0,0.0,16,0.468380166142
149,25,0.021547,0.028197,-0.25887,DSB,2,0,0,DIRECT,1.0,0.0,16,0.711150039111
150,25,0.022239,0.025926,-4.553081,DSB,2,0,0,DIRECT,1.0,0.0,18,0.876407285276
151,25,-0.515786,2.104107,2.32892,DSB,2,0,0,DIRECT,1.0,0.0,30,0.042477994553
152,26,0.002407,0.067796,2.214356,DSB,2,3,1,DIRECT,1.0,0.0,13,0.474150642032
153,26,0.002651,0.067947,4.163427,DSB,2,0,0,DIRECT,1.0,0.0,17,0.037092124682
154,27,-0.179435,-0.068346,4.105344,DSB+,3,0,0,DIRECT,1.0,0.0,7,0.810479749555
155,28,-0.763136,0.033045,2.627879,DSB,2,1,1,DIRECT,1.0,0.0,13,0.304511357887
156,28,0.047192,-0.064443,1.811244,DSB,2,0,0,DIRECT,1.0,0.0,13,0.430363017839
157,28,0.047529,-0.064676,-1.051128,DSB+,3,0,0,DIRECT,1.0,0.0,16,0.850842635603
158,28,0.037129,-0.063648,-0.699869,DSB,2,2,1,DIRECT,1.0,0.0,16,0.797076455413
159,28,0.047881,-0.064797,-2.482333,DSB+,3,2,1,DIRECT,1.0,0.0,18,0.404539265
160,28,0.047507,-0.065748,-3.738895,DSB,2,0,0,DIRECT,1.0,0.0,18,0.715366704887
161,29,-0.00770929,0.0901668,0.764535,DSB+,3,0,0,DIRECT,1.0,0.0,13,0.918661753717
162,29,-0.012293,0.087048,1.283512,DSB,2,1,1,DIRECT,1.0,0.0,13,0.828108600677
163,29,-0.012723,0.087142,0.001264,DSB,2,1,1,DIRECT,1.0,0.0,16,0.679419187454
164,29,-0.027947,0.254705,0.027415,DSB,2,0,0,DIRECT,1.0,0.0,16,0.680008518709
165,29,-0.012776,0.087003,4.437297,DSB+,3,0,0,DIRECT,1.0,0.0,17,0.039747858133
166,29,-0.344214,3.292955,-0.622831,DSB,2,1,1,DIRECT,1.0,0.0,42,0.06344867799
167,30,1.34819,-0.441017,2.82673,DSB,2,0,0,DIRECT,1.0,0.0,7,0.878142641348
168,30,0.090985,-0.026122,2.874441,DSB,2,1,1,DIRECT,1.0,0.0,13,0.313001816966
169,30,0.090079,-0.023996,3.416197,DSB,2,0,0,DIRECT,1.0,0.0,13,0.258827336482
170,30,0.090979,-0.026518,2.880579,DSB,2,0,0,DIRECT,1.0,0.0,13,0.313001989307
171,30,0.091598,-0.025792,-0.453799,DSB,2,3,1,DIRECT,1.0,0.0,16,0.764447904612
172,31,-0.353895,-1.205771,-1.072595,DSB,2,0,0,DIRECT,1.0,0.0,11,0.553207339458
173,31,0.149194,-0.027275,2.301215,DSB,2,0,0,DIRECT,1.0,0.0,13,0.4776591169
174,31,0.045853,0.015148,4.112702,DSB,2,3,1,DIRECT,1.0,0.0,17,0.035517835173
175,31,0.04514,0.015919,3.854407,DSB,2,0,0,DIRECT,1.0,0.0,17,0.019235651376
176,31,0.045247,0.015551,4.015715,DSB,2,0,0,DIRECT,1.0,0.0,17,0.037529132457
177,31,0.052827,0.022217,-4.241978,DSB,2,1,1,DIRECT,1.0,0.0,18,0.885236065661
178,32,-0.000449,-0.012319,4.556017,DSB+,3,0,0,DIRECT,1.0,0.0,7,0.845815008678
179,32,-0.058929,-0.006479,3.799008,DSB,2,0,0,DIRECT,1.0,0.0,13,0.196852948816
180,32,-0.054776,0.002655,3.80384,DSB,2,0,0,DIRECT,1.0,0.0,13,0.196864778794
181,32,-0.000119,-0.012716,3.242252,DSB,2,0,0,DIRECT,1.0,0.0,13,0.263475902421
182,32,0.002865,-0.01154,-0.907006,DSB,2,1,1,DIRECT,1.0,0.0,16,0.796259945191
183,32,6.6e-05,-0.013165,-1.160072,DSB,2,0,0,DIRECT,1.0,0.0,16,0.851643380856
184,32,0.000335,-0.013288,-2.153913,DSB,2,0,0,DIRECT,1.0,0.0,18,0.425454353339
185,33,-0.072342,-0.051155,3.020639,DSB+,3,2,1,DIRECT,1.0,0.0,13,0.263043751223
186,33,-0.071814,-0.052008,3.156293,DSB,2,0,0,DIRECT,1.0,0.0,13,0.262401516355
187,33,-0.07072,-0.052541,0.322009,DSB,2,0,0,DIRECT,1.0,0.0,16,0.494239410548
188,33,-0.073571,-0.053039,-4.120212,DSB,2,1,1,DIRECT,1.0,0.0,18,0.783548161663
189,34,-0.190723,0.0134718,1.46283,DSB,2,1,1,DIRECT,1.0,0.0,13,0.420025377211
190,34,-0.116373,0.155405,3.842436,DSB,2,0,0,DIRECT,1.0,0.0,13,0.198216935457
191,34,-0.072849,0.02216,-0.416532,DSB+,3,0,0,DIRECT,1.0,0.0,16,0.765778571161
192,34,-0.073656,0.022183,-2.035545,DSB,2,1,1,DIRECT,1.0,0.0,18,0.424569018187
193,34,-0.0731,0.022241,-2.045411,DSB,2,0,0,DIRECT,1.0,0.0,18,0.424571117509
194,34,-0.07287,0.022359,-2.184393,DSB,2,0,0,DIRECT,1.0,0.0,18,0.425312220148
195,35,-0.082123,0.034702,3.55498,DSB+,3,0,0,DIRECT,1.0,0.0,13,0.260839589927
196,35,-0.065797,0.032599,0.691145,DSB,2,0,0,DIRECT,1.0,0.0,13,0.91718656405
197,35,-0.058187,0.041127,-2.189329,DSB+,4,0,0,DIRECT,1.0,0.0,18,0.42532630165
198,35,-0.058155,0.043373,-3.06064,DSB,2,0,0,DIRECT,1.0,0.0,18,0.622571349062
