dsb_id,event_id,x_um,y_um,z_um,complexity,n_backbone_breaks,n_base_damage,has_base_damage_in_cluster,cause,direct_fraction,indirect_fraction,chromosome,chromosome_position
304,484,0.0373471,0.0392549,3.12556,DSB,2,0,0,DIRECT,1.0,0.0,13,0.263349465681
305,484,0.039644,0.041512,0.758113,DSB,2,0,0,DIRECT,1.0,0.0,13,0.918192081424
306,487,-0.009792,-0.02356,2.335606,DSB,2,0,0,DIRECT,1.0,0.0,13,0.481261788432
307,488,0.051397,0.046265,4.454006,DSB,2,0,0,DIRECT,1.0,0.0,17,0.03861655354
308,489,-0.0814063,-0.0826025,1.21207,DSB,2,0,0,DIRECT,1.0,0.0,13,0.401146326121
309,489,-0.052482,-0.08638,2.206957,DSB,2,0,0,DIRECT,1.0,0.0,13,0.473767324886
310,489,-0.051566,-0.089295,2.337372,DSB,2,0,0,DIRECT,1.0,0.0,13,0.480948989528
311,489,-0.028618,-0.072572,-1.209862,DSB+,3,2,1,DIRECT,1.0,0.0,16,0.846926581051
312,491,-0.0938026,-0.0152243,1.03343,DSB+,3,0,0,DIRECT,1.0,0.0,13,0.904182605131
313,492,-0.026088,0.012861,-0.282428,DSB,2,0,0,DIRECT,1.0,0.0,16,0.711125427275
314,494,0.005513,0.022738,-4.57374,DSB,2,0,0,DIRECT,1.0,0.0,18,0.876414901423
315,497,-0.064467,0.0837565,2.6337,DSB,2,0,0,DIRECT,1.0,0.0,13,0.554392614942
316,498,0.004502,0.00289,-3.239922,DSB,2,0,0,DIRECT,1.0,0.0,18,0.621970287265
317,503,0.062846,-0.065322,-1.749011,DSB,2,0,0,DIRECT,1.0,0.0,22,0.0033063981
318,505,-0.0345304,-0.0266689,0.677819,DSB,2,1,1,DIRECT,1.0,0.0,13,0.917083073283
319,505,-0.025281,-0.036529,0.669466,DSB,2,0,0,DIRECT,1.0,0.0,13,0.91708088209
320,505,-0.005843,-0.045735,-2.345361,DSB,2,1,1,DIRECT,1.0,0.0,18,0.403874484236
321,510,-0.537782,-0.879504,-3.734819,DSB,2,0,0,DIRECT,1.0,0.0,15,0.307816096342
322,510,-0.06493,-0.022469,0.293673,DSB+,3,0,0,DIRECT,1.0,0.0,16,0.494267766062
323,511,-0.00933,-0.060556,-4.128374,DSB+,3,0,0,DIRECT,1.0,0.0,18,0.783063685489
324,515,-0.264588,0.134412,-0.469337,DSB,2,1,1,DIRECT,1.0,0.0,16,0.763043616862
325,520,-0.018105,-0.071683,-3.988418,DSB,2,0,0,DIRECT,1.0,0.0,18,0.782313397443
326,523,-0.003701,0.019256,3.790638,DSB,2,0,0,DIRECT,1.0,0.0,13,0.196083883286
327,523,-0.125125,0.375175,0.939073,DSB,2,0,0,DIRECT,1.0,0.0,16,0.55318235395
328,523,-0.003214,0.021171,-3.037529,DSB,2,1,1,DIRECT,1.0,0.0,18,0.622631113492
329,523,0.000707,0.021259,-3.038114,DSB,2,0,0,DIRECT,1.0,0.0,18,0.622631225084
330,525,-0.000808,-0.044369,-4.342795,DSB,2,0,0,DIRECT,1.0,0.0,18,0.792525115149
331,528,-0.079827,0.086258,-2.650824,DSB,2,0,0,DIRECT,1.0,0.0,18,0.52126798373
332,529,0.261475,0.122398,0.230904,DSB,2,1,1,DIRECT,1.0,0.0,16,0.682091704706
333,529,0.049464,0.029179,-1.862905,DSB,2,0,0,DIRECT,1.0,0.0,22,0.005085746008
334,532,-0.071183,0.040053,-0.551831,DSB,2,1,1,DIRECT,1.0,0.0,16,0.766487981387
335,532,-0.062227,0.023727,-0.736138,DSB,2,1,1,DIRECT,1.0,0.0,16,0.796918149404
336,532,-0.07724,0.037161,-2.740133,DSB,2,0,0,DIRECT,1.0,0.0,18,0.322117086392
337,534,-0.003279,-0.060533,-2.781665,DSB+,4,1,1,DIRECT,1.0,0.0,18,0.320638047533
338,534,0.009177,-0.065407,-2.157304,DSB,2,0,0,DIRECT,1.0,0.0,18,0.425108634701
339,536,0.00700431,0.201995,3.32495,DSB,2,0,0,DIRECT,1.0,0.0,13,0.633701970719
340,537,-0.0288621,-0.111801,1.8027,DSB+,3,1,1,DIRECT,1.0,0.0,13,0.430312841989
341,537,-0.390374,0.021642,-1.232799,DSB+,3,1,1,DIRECT,1.0,0.0,16,0.844836738138
342,537,-0.040708,-0.070658,-2.419031,DSB,2,0,0,DIRECT,1.0,0.0,18,0.405632188959
343,539,0.0781797,-0.0553189,1.7594,DSB,2,0,0,DIRECT,1.0,0.0,13,0.42994531251
344,539,-0.04431,-0.086748,0.671598,DSB,2,0,0,DIRECT,1.0,0.0,13,0.917035722595
345,543,0.110022,-0.0496061,0.454044,DSB,2,0,0,DIRECT,1.0,0.0,13,0.993906256347
346,544,-0.262439,-0.224005,-1.899143,DSB,2,0,0,DIRECT,1.0,0.0,15,0.623134295572
347,545,0.124502,0.147102,-3.425214,DSB,2,1,1,DIRECT,1.0,0.0,18,0.700782412561
348,548,0.0844591,0.0347629,1.84333,DSB,2,0,0,DIRECT,1.0,0.0,13,0.429843723649
349,550,0.033797,0.075412,3.720305,DSB,2,0,0,DIRECT,1.0,0.0,17,0.020022248632
350,551,-0.000143,0.003932,-3.506151,DSB+,4,0,0,DIRECT,1.0,0.0,18,0.700357338143
351,554,-0.039169,-0.008749,-0.668054,DSB,2,0,0,DIRECT,1.0,0.0,16,0.798150864194
352,556,0.000498,0.031491,-1.589189,DSB+,3,0,0,DIRECT,1.0,0.0,23,0.004139874579
353,557,-0.044897,0.058227,-3.242971,DSB,2,0,0,DIRECT,1.0,0.0,18,0.622082227876
354,561,0.0227683,0.0207908,3.24175,DSB,2,0,0,DIRECT,1.0,0.0,13,0.263511835518
355,565,-0.013747,-0.054582,3.786736,DSB,2,0,0,DIRECT,1.0,0.0,13,0.196014848408
356,566,-0.05888,-0.05048,-2.803628,DSB,2,0,0,DIRECT,1.0,0.0,18,0.322039983373
357,567,0.047148,-0.103202,-4.163877,DSB,2,0,0,DIRECT,1.0,0.0,18,0.781385706195
358,573,-0.027531,0.085542,-3.167245,DSB,2,0,0,DIRECT,1.0,0.0,18,0.623692226788
359,577,0.0391418,0.0708345,0.747668,DSB,2,0,0,DIRECT,1.0,0.0,13,0.918216061442
360,577,0.010233,0.327866,-3.108846,DSB,2,0,0,DIRECT,1.0,0.0,22,0.100100479625
361,581,0.0131047,-0.0413352,1.95235,DSB,2,0,0,DIRECT,1.0,0.0,13,0.430535937406
362,582,0.015495,-0.021007,-0.794626,DSB+,3,1,1,DIRECT,1.0,0.0,16,0.795555772095
363,585,0.115793,0.123149,-1.226771,DSB,2,0,0,DIRECT,1.0,0.0,23,0.036627891853
364,585,0.119539,0.123428,-1.227417,DSB,2,0,0,DIRECT,1.0,0.0,23,0.036640757672
365,587,-0.047972,-0.019081,-0.413302,DSB,2,0,0,DIRECT,1.0,0.0,16,0.765469660805
366,587,-0.226861,0.096329,-1.796519,DSB,2,0,0,DIRECT,1.0,0.0,19,0.418432639714
